,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,segment,time,flow,speed,is_crash,diff_flow,diff_speed,vari_flow_in_last_4mins,vari_speed_in_last_4mins,speed_on_last_seg,flow_on_last_seg
27038,27038,27039,27040,27040,2108,58080,169,22,0,-3,-3,62,2,29,162
96408,96408,96709,98980,98980,4112,41400,106,74,0,10,-5,80,4,4,152
23318,23318,23319,23320,23320,2103,43680,95,11,0,-2,-2,72,0,21,92
94248,94248,94542,96806,96806,4109,39720,138,25,1,-8,2,10,1,10,116
84486,84486,84752,86983,86983,3228,68880,74,8,1,-41,4,373,110,44,90
10392,10392,10392,10392,10392,1116,43080,140,66,1,44,-13,594,57,29,109
78735,78735,78983,80916,80916,3219,65520,87,67,0,3,1,1,2,68,81
158723,158723,159699,167344,167344,6209,57360,86,35,0,-18,11,91,29,44,85
81491,81491,81755,83984,83984,3224,54600,89,24,0,-1,-1,1,0,42,118
94205,94205,94499,96763,96763,4109,34560,150,15,1,-1,1,0,0,9,116
110778,110778,111206,114026,114026,4134,39720,71,80,0,26,-4,299,4,22,148
41308,41308,41312,41316,41316,2210,50280,129,19,1,-50,-2,422,0,10,61
94979,94979,95273,97537,97537,4110,41040,136,14,0,-8,-1,24,0,15,123
109894,109894,110274,112875,112875,4132,74400,92,78,0,-11,-1,284,0,75,106
129602,129602,130196,135153,135153,4225,78120,98,70,0,-22,-2,80,1,76,59
45844,45844,45848,45852,45852,2218,76200,70,20,1,10,2,16,1,9,50
4386,4386,4386,4386,4386,1107,9480,27,76,0,12,0,88,0,80,31
18618,18618,18618,18618,18618,1212,84000,133,70,0,4,-4,16,2,63,178
94917,94917,95211,97475,97475,4110,33600,67,82,0,-16,1,53,0,5,48
93484,93484,93778,96042,96042,4108,34440,132,11,0,-14,-1,96,9,19,167
140776,140776,141539,147740,147740,5105,33360,121,72,0,-25,4,144,6,77,91
85207,85207,85473,87704,87704,3229,69000,115,43,0,-2,-2,0,6,17,85
57004,57004,57016,57206,57206,3116,56280,79,76,0,14,-4,36,2,37,111
26516,26516,26517,26518,26518,2107,81840,117,11,0,4,1,6,0,12,64
46731,46731,46735,46739,46739,2220,9840,15,75,0,12,0,67,0,68,15
